x_coords;y_coords
0;0
103;0
0;20
103;20
0;40
103;40
0;60
103;60
0;80
103;80
0;100
103;100
0;120
103;120
0;140
103;140
0;160
103;160
0;180
103;180
0;200
103;200
0;220
103;220
0;240
103;240
0;260
103;260
0;280
103;280
0;300
103;300
0;320
103;320
0;340
103;340
0;360
103;360
0;380
103;380
0;400
103;400
0;420
103;420
0;440
103;440
0;460
103;460
0;480
103;480
0;500
103;500
0;520
103;520
0;540
103;540
0;560
103;560
0;580
103;580
0;600
103;600
0;620
103;620
0;640
103;640
0;660
103;660
0;680
103;680
0;700
103;700
0;720
103;720
0;740
103;740
0;760
103;760
0;780
103;780
0;800
103;800
0;820
103;820
0;840
103;840
0;860
103;860
0;880
103;880
0;900
103;900
0;920
103;920
0;940
103;940
0;960
103;960
0;980
103;980
0;1000
103;1000
0;1020
103;1020
0;1040
103;1040
0;1060
103;1060
0;1080
103;1080
0;1100
103;1100
0;1120
103;1120
0;1140
103;1140
0;1160
103;1160
0;1180
103;1180
0;1200
103;1200
0;1220
103;1220
0;1240
103;1240
0;1260
103;1260
0;1280
103;1280
0;1300
103;1300
0;1320
103;1320
0;1340
103;1340
0;1360
103;1360
0;1380
103;1380
0;1400
103;1400
0;1420
103;1420
0;1440
103;1440
0;1460
103;1460
0;1480
103;1480
0;1500
103;1500
0;1520
103;1520
0;1540
103;1540
0;1560
103;1560
0;1580
103;1580
0;1600
103;1600
0;1620
103;1620
0;1640
103;1640
0;1660
103;1660
0;1680
103;1680
0;1700
103;1700
0;1720
103;1720
0;1740
103;1740
0;1760
103;1760
0;1780
103;1780
0;1800
103;1800
0;1820
103;1820
0;1840
103;1840
0;1860
103;1860
0;1880
103;1880
0;1900
103;1900
0;1920
103;1920
0;1940
103;1940
0;1960
103;1960
0;1980
103;1980
0;2000
103;2000
0;2020
103;2020
0;2040
103;2040
0;2060
103;2060
0;2080
103;2080
0;2100
103;2100
0;2120
103;2120
0;2140
103;2140
0;2160
103;2160
0;2180
103;2180
0;2200
103;2200
0;2220
103;2220
0;2240
103;2240
0;2260
103;2260
0;2280
103;2280
0;2300
103;2300
0;2320
103;2320
0;2340
103;2340
0;2360
103;2360
0;2380
103;2380
0;2400
103;2400
0;2420
103;2420
0;2440
103;2440
0;2460
103;2460
0;2480
103;2480
0;2500
103;2500
0;2520
103;2520
0;2540
103;2540
0;2560
103;2560
0;2580
103;2580
0;2600
103;2600
0;2620
103;2620
0;2640
103;2640
0;2660
103;2660
0;2680
103;2680
0;2700
103;2700
0;2720
103;2720
0;2740
103;2740
0;2760
103;2760
0;2780
103;2780
0;2800
103;2800
0;2820
103;2820
0;2840
103;2840
0;2860
103;2860
0;2880
103;2880
0;2900
103;2900
0;2920
103;2920
0;2940
103;2940
0;2960
103;2960
0;2980
103;2980
0;3000
103;3000
0;3020
103;3020
0;3040
103;3040
0;3060
103;3060
0;3080
103;3080
0;3100
103;3100
0;3120
103;3120
0;3140
103;3140
0;3160
103;3160
0;3180
103;3180
0;3200
103;3200
0;3220
103;3220
0;3240
103;3240
0;3260
103;3260
0;3280
103;3280
0;3300
103;3300
0;3320
103;3320
0;3340
103;3340
0;3360
103;3360
0;3380
103;3380
0;3400
103;3400
0;3420
103;3420
0;3440
103;3440
0;3460
103;3460
0;3480
103;3480
0;3500
103;3500
0;3520
103;3520
0;3540
103;3540
0;3560
103;3560
0;3580
103;3580
0;3600
103;3600
0;3620
103;3620
0;3640
103;3640
0;3660
103;3660
0;3680
103;3680
0;3700
103;3700
0;3720
103;3720
0;3740
103;3740
0;3760
103;3760
0;3780
103;3780
0;3800
103;3800
0;3820
103;3820
